[WARN ] 2018-11-06T09:31:40,176Z [Thread-2 (ActiveMQ-server-org.apache.activemq.artemis.core.server.impl.ActiveMQServerImpl$3@3c5cb013)] core.client.fail - AMQ212037: Connection failure has been detected: AMQ119014: Did not receive data from /2a01:4c8:102b:f582:71e2:d233:eb05:4905:59872 within the 60,000ms connection TTL. The connection will now be closed. [code=CONNECTION_TIMEDOUT] {}
[WARN ] 2018-11-06T09:31:25,029Z [HikariPool-1 housekeeper] pool.HikariPool.run - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=11h41m20s102ms). {}
[INFO ] 2018-11-06T09:43:41,874Z [nioEventLoopGroup-2-24] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:43:41,874Z [nioEventLoopGroup-2-23] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:43:41,875Z [nioEventLoopGroup-2-1] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:43:41,876Z [nioEventLoopGroup-2-2] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:43:42,879Z [nioEventLoopGroup-2-3] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:43:42,879Z [nioEventLoopGroup-2-4] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:43:42,880Z [nioEventLoopGroup-2-5] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:43:42,881Z [nioEventLoopGroup-2-6] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:43:43,884Z [nioEventLoopGroup-2-8] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:43:43,884Z [nioEventLoopGroup-2-7] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:43:43,886Z [nioEventLoopGroup-2-9] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:43:43,886Z [nioEventLoopGroup-2-10] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:43:44,889Z [nioEventLoopGroup-2-11] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:43:44,889Z [nioEventLoopGroup-2-12] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:43:44,891Z [nioEventLoopGroup-2-14] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:43:44,891Z [nioEventLoopGroup-2-13] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:43:45,894Z [nioEventLoopGroup-2-15] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:43:45,894Z [nioEventLoopGroup-2-16] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:43:45,896Z [nioEventLoopGroup-2-17] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:43:45,896Z [nioEventLoopGroup-2-18] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:43:46,897Z [nioEventLoopGroup-2-20] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:43:46,898Z [nioEventLoopGroup-2-19] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:43:46,901Z [nioEventLoopGroup-2-22] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:43:46,901Z [nioEventLoopGroup-2-21] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:43:47,902Z [nioEventLoopGroup-2-23] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:43:47,902Z [nioEventLoopGroup-2-24] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:43:47,903Z [nioEventLoopGroup-2-1] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:43:47,905Z [nioEventLoopGroup-2-3] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:43:48,907Z [nioEventLoopGroup-2-2] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:43:48,908Z [nioEventLoopGroup-2-4] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:43:48,910Z [nioEventLoopGroup-2-5] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:43:48,910Z [nioEventLoopGroup-2-6] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:43:49,913Z [nioEventLoopGroup-2-8] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:43:49,913Z [nioEventLoopGroup-2-7] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:43:49,915Z [nioEventLoopGroup-2-10] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:43:49,915Z [nioEventLoopGroup-2-9] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:43:50,918Z [nioEventLoopGroup-2-11] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:43:50,918Z [nioEventLoopGroup-2-12] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:43:50,920Z [nioEventLoopGroup-2-13] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:43:50,920Z [nioEventLoopGroup-2-14] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:43:51,922Z [nioEventLoopGroup-2-15] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:43:51,922Z [nioEventLoopGroup-2-16] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:43:51,924Z [nioEventLoopGroup-2-18] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:43:51,924Z [nioEventLoopGroup-2-17] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:43:52,926Z [nioEventLoopGroup-2-20] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:43:52,926Z [nioEventLoopGroup-2-19] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:43:52,929Z [nioEventLoopGroup-2-21] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:43:52,929Z [nioEventLoopGroup-2-22] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:43:53,933Z [nioEventLoopGroup-2-24] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:43:53,933Z [nioEventLoopGroup-2-23] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:43:53,935Z [nioEventLoopGroup-2-2] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:43:53,936Z [nioEventLoopGroup-2-1] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:43:54,939Z [nioEventLoopGroup-2-4] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:43:54,939Z [nioEventLoopGroup-2-3] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:43:54,941Z [nioEventLoopGroup-2-5] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:43:54,941Z [nioEventLoopGroup-2-6] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:43:55,944Z [nioEventLoopGroup-2-7] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:43:55,944Z [nioEventLoopGroup-2-8] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:43:55,945Z [nioEventLoopGroup-2-9] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:43:55,945Z [nioEventLoopGroup-2-10] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:43:56,946Z [nioEventLoopGroup-2-11] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:43:56,946Z [nioEventLoopGroup-2-12] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:43:56,949Z [nioEventLoopGroup-2-13] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:43:56,949Z [nioEventLoopGroup-2-14] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:43:57,950Z [nioEventLoopGroup-2-16] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:43:57,950Z [nioEventLoopGroup-2-15] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:43:57,952Z [nioEventLoopGroup-2-17] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:43:57,952Z [nioEventLoopGroup-2-18] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:43:58,957Z [nioEventLoopGroup-2-20] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:43:58,957Z [nioEventLoopGroup-2-19] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:43:58,961Z [nioEventLoopGroup-2-21] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:43:58,962Z [nioEventLoopGroup-2-22] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:43:59,964Z [nioEventLoopGroup-2-24] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:43:59,964Z [nioEventLoopGroup-2-23] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:43:59,966Z [nioEventLoopGroup-2-1] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:43:59,966Z [nioEventLoopGroup-2-2] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:44:00,970Z [nioEventLoopGroup-2-3] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:44:00,970Z [nioEventLoopGroup-2-4] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:44:00,973Z [nioEventLoopGroup-2-5] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:44:00,973Z [nioEventLoopGroup-2-6] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:44:01,973Z [nioEventLoopGroup-2-7] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:44:01,974Z [nioEventLoopGroup-2-8] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:44:01,974Z [nioEventLoopGroup-2-9] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:44:01,975Z [nioEventLoopGroup-2-10] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:44:02,983Z [nioEventLoopGroup-2-11] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:44:02,983Z [nioEventLoopGroup-2-12] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:44:02,986Z [nioEventLoopGroup-2-14] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:44:02,987Z [nioEventLoopGroup-2-13] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:44:03,992Z [nioEventLoopGroup-2-15] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:44:03,992Z [nioEventLoopGroup-2-16] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:44:03,995Z [nioEventLoopGroup-2-18] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:44:03,995Z [nioEventLoopGroup-2-17] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:44:05,003Z [nioEventLoopGroup-2-20] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:44:05,003Z [nioEventLoopGroup-2-19] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:44:05,006Z [nioEventLoopGroup-2-21] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:44:05,006Z [nioEventLoopGroup-2-22] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:44:06,009Z [nioEventLoopGroup-2-24] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:44:06,009Z [nioEventLoopGroup-2-23] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:44:06,012Z [nioEventLoopGroup-2-1] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:44:06,012Z [nioEventLoopGroup-2-2] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:44:07,013Z [nioEventLoopGroup-2-3] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:44:07,013Z [nioEventLoopGroup-2-4] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:44:07,016Z [nioEventLoopGroup-2-5] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:44:07,016Z [nioEventLoopGroup-2-6] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:44:08,024Z [nioEventLoopGroup-2-7] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:44:08,024Z [nioEventLoopGroup-2-8] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:44:08,027Z [nioEventLoopGroup-2-9] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:44:08,027Z [nioEventLoopGroup-2-10] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:44:09,036Z [nioEventLoopGroup-2-11] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:44:09,036Z [nioEventLoopGroup-2-12] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:44:09,039Z [nioEventLoopGroup-2-14] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:44:09,039Z [nioEventLoopGroup-2-13] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:44:10,041Z [nioEventLoopGroup-2-16] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:44:10,041Z [nioEventLoopGroup-2-15] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:44:10,043Z [nioEventLoopGroup-2-18] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:44:10,044Z [nioEventLoopGroup-2-17] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:44:11,053Z [nioEventLoopGroup-2-19] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:44:11,053Z [nioEventLoopGroup-2-20] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:44:11,055Z [nioEventLoopGroup-2-21] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:44:11,055Z [nioEventLoopGroup-2-22] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:44:12,063Z [nioEventLoopGroup-2-24] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:44:12,063Z [nioEventLoopGroup-2-23] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:44:12,067Z [nioEventLoopGroup-2-1] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:44:12,068Z [nioEventLoopGroup-2-2] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:44:13,073Z [nioEventLoopGroup-2-4] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:44:13,073Z [nioEventLoopGroup-2-3] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:44:13,077Z [nioEventLoopGroup-2-6] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:44:13,077Z [nioEventLoopGroup-2-5] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:44:14,086Z [nioEventLoopGroup-2-7] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:44:14,086Z [nioEventLoopGroup-2-8] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:44:14,090Z [nioEventLoopGroup-2-9] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:44:14,090Z [nioEventLoopGroup-2-10] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:44:15,096Z [nioEventLoopGroup-2-11] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:44:15,096Z [nioEventLoopGroup-2-12] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:44:15,099Z [nioEventLoopGroup-2-14] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:44:15,099Z [nioEventLoopGroup-2-13] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:44:16,103Z [nioEventLoopGroup-2-16] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:44:16,103Z [nioEventLoopGroup-2-15] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:44:16,106Z [nioEventLoopGroup-2-18] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
